[Sun Mar  6 21:39:47.788 2011] 0.019 sec [all/2/rel 0 (0,20)] [listing_core] false
[Sun Mar  6 21:40:01.319 2011] 0.000 sec [all/2/rel 0 (0,20)] [listing_core] lost
[Sun Mar  6 21:43:37.397 2011] 0.000 sec [all/2/rel 0 (0,20)] [listing_core] lost
[Sun Mar  6 21:46:10.951 2011] 0.000 sec [all/2/rel 1 (0,20)] [listing_core] 100
[Sun Mar  6 21:46:25.574 2011] 0.000 sec [all/2/rel 1 (0,20)] [listing_core] newtown
[Sun Mar  6 21:46:40.694 2011] 0.000 sec [all/2/rel 1 (0,20)] [listing_core] daniell
[Sun Mar  6 21:47:08.417 2011] 0.000 sec [all/2/rel 1 (0,20)] [listing_core] daniell
[Sun Mar  6 21:47:30.178 2011] 0.000 sec [all/2/rel 1 (0,20)] [listing_core] daniell
[Sun Mar  6 21:50:57.513 2011] 0.000 sec [all/2/rel 1 (0,20)] [listing_core] daniell
[Sun Mar  6 21:55:46.960 2011] 0.000 sec [all/2/rel 1 (0,20)] [listing_core] daniell
[Sun Mar  6 22:08:23.550 2011] 0.000 sec [all/2/rel 1 (0,20)] [listing_core] daniell
[Sun Mar  6 22:09:02.520 2011] 0.000 sec [all/2/rel 1 (0,20)] [listing_core] daniell
[Sun Mar  6 22:11:14.010 2011] 0.000 sec [all/2/rel 1 (0,20)] [listing_core] daniell
[Sun Mar  6 22:22:29.461 2011] 0.000 sec [all/2/rel 1 (0,20)] [listing_core] daniell
[Sun Mar  6 22:22:53.799 2011] 0.000 sec [all/2/rel 1 (0,20)] [listing_core] daniell
[Sun Mar  6 22:24:24.447 2011] 0.000 sec [all/2/rel 1 (0,20)] [listing_core] daniell
[Sun Mar  6 22:24:49.459 2011] 0.000 sec [all/2/rel 1 (0,20)] [listing_core] daniell
[Sun Mar  6 22:25:01.786 2011] 0.000 sec [all/2/rel 1 (0,20)] [listing_core] daniell
[Sun Mar  6 22:25:37.451 2011] 0.000 sec [all/2/rel 1 (0,20)] [listing_core] daniell
[Sun Mar  6 22:26:11.011 2011] 0.000 sec [all/2/rel 1 (0,20)] [listing_core] daniell
[Sun Mar  6 22:58:55.614 2011] 0.000 sec [all/2/rel 1 (0,20)] [listing_core] daniell
[Sun Mar  6 22:59:23.108 2011] 0.000 sec [all/2/rel 1 (0,20)] [listing_core] daniell
[Sun Mar  6 23:00:55.578 2011] 0.000 sec [all/2/rel 1 (0,20)] [listing_core] daniell
[Sun Mar  6 23:01:06.788 2011] 0.000 sec [all/2/rel 1 (0,20)] [listing_core] daniell
[Sun Mar  6 23:01:40.825 2011] 0.000 sec [all/2/rel 1 (0,20)] [listing_core] daniell
[Sun Mar  6 23:01:47.501 2011] 0.000 sec [all/2/rel 1 (0,20)] [listing_core] daniell
[Sun Mar  6 23:02:11.901 2011] 0.000 sec [all/2/rel 1 (0,20)] [listing_core] daniell
[Sun Mar  6 23:02:21.259 2011] 0.001 sec [all/2/rel 1 (0,20)] [listing_core] daniell
[Sun Mar  6 23:02:27.243 2011] 0.000 sec [all/2/rel 1 (0,20)] [listing_core] daniell
[Sun Mar  6 23:02:47.450 2011] 0.000 sec [all/2/rel 1 (0,20)] [listing_core] daniell
[Sun Mar  6 23:03:16.107 2011] 0.000 sec [all/2/rel 1 (0,20)] [listing_core] daniell
[Sun Mar  6 23:04:16.716 2011] 0.000 sec [all/2/rel 1 (0,20)] [listing_core] daniell
[Sun Mar  6 23:04:34.343 2011] 0.000 sec [all/2/rel 1 (0,20)] [listing_core] daniell
[Sun Mar  6 23:04:56.651 2011] 0.000 sec [all/2/rel 1 (0,20)] [listing_core] daniell
[Sun Mar  6 23:06:43.293 2011] 0.000 sec [all/2/rel 1 (0,20)] [listing_core] daniell
[Sun Mar  6 23:07:13.823 2011] 0.000 sec [all/2/rel 1 (0,20)] [listing_core] daniell
[Sun Mar  6 23:07:23.564 2011] 0.000 sec [all/2/rel 1 (0,20)] [listing_core] daniell
[Sun Mar  6 23:07:29.799 2011] 0.000 sec [all/2/rel 1 (0,20)] [listing_core] daniell
[Sun Mar  6 23:07:40.792 2011] 0.000 sec [all/2/rel 1 (0,20)] [listing_core] daniell
[Sun Mar  6 23:07:54.550 2011] 0.000 sec [all/2/rel 1 (0,20)] [listing_core] daniell
[Sun Mar  6 23:08:17.157 2011] 0.000 sec [all/2/rel 1 (0,20)] [listing_core] daniell
[Sun Mar  6 23:08:23.772 2011] 0.000 sec [all/2/rel 1 (0,20)] [listing_core] daniell
[Sun Mar  6 23:09:20.750 2011] 0.000 sec [scan/2/rel 1 (0,20)] [listing_core]
[Sun Mar  6 23:10:37.484 2011] 0.000 sec [scan/2/rel 1 (0,20)] [listing_core]
[Sun Mar  6 23:11:52.940 2011] 0.000 sec [scan/2/rel 1 (0,20)] [listing_core]
[Sun Mar  6 23:14:14.373 2011] 0.000 sec [scan/2/rel 1 (0,20)] [listing_core]
[Sun Mar  6 23:14:27.516 2011] 0.000 sec [scan/2/rel 1 (0,20)] [listing_core]
[Sun Mar  6 23:15:04.085 2011] 0.000 sec [scan/2/rel 1 (0,20)] [listing_core]
[Sun Mar  6 23:17:46.298 2011] 0.000 sec [scan/2/rel 1 (0,20)] [listing_core]
[Sun Mar  6 23:17:50.039 2011] 0.000 sec [scan/2/rel 1 (0,20)] [listing_core]
[Sun Mar  6 23:17:52.215 2011] 0.000 sec [scan/2/rel 1 (0,20)] [listing_core]
[Sun Mar  6 23:21:08.657 2011] 0.000 sec [all/2/rel 0 (0,20)] [listing_core] hello
[Sun Mar  6 23:21:17.851 2011] 0.000 sec [all/2/rel 1 (0,20)] [listing_core] llama
[Sun Mar  6 23:22:24.309 2011] 0.000 sec [all/2/rel 1 (0,20)] [listing_core] llama
